"Acres","FamilyIncome","FamilyType","NumBedrooms","NumChildren","NumPeople","NumRooms","NumUnits","NumVehicles","NumWorkers","OwnRent","YearBuilt","HouseCosts","ElectricBill","FoodStamp","HeatingFuel","Insurance","Language","Income"
"Sub 1",51500,"Female Head",8,2,5,12,"Single detached",1,2,"Mortgage","1960-1969",2500,430,"No","Gas",2600,"English","Below"
"Sub 1",124000,"Married",3,3,5,9,"Single detached",2,2,"Mortgage","1960-1969",3000,200,"No","Gas",2500,"Spanish","Below"
"Sub 1",310000,"Married",4,2,4,9,"Single detached",1,2,"Mortgage","2010",4600,300,"No","Gas",1300,"Spanish","Above"
"Sub 1",36000,"Married",5,2,6,8,"Single detached",2,1,"Mortgage","1950-1959",1700,160,"Yes","Oil",1200,"English","Below"
"Sub 1",54000,"Married",2,1,3,7,"Single detached",2,2,"Mortgage","1940-1949",2100,70,"No","Oil",830,"Asian Pacific","Below"
"Sub 1",105500,"Married",2,0,3,5,"Single detached",2,3,"Mortgage","1960-1969",1400,150,"No","Gas",1000,"English","Below"
"Sub 1",41100,"Male Head",2,0,3,4,"Single attached",1,2,"Rented","Before 1939",800,1,"Yes","Oil",0,"Asian Pacific","Below"
"Sub 1",190200,"Married",5,0,2,13,"Single detached",2,2,"Mortgage","Before 1939",940,80,"No","Gas",1500,"English","Above"
"Sub 1",47100,"Married",2,0,2,9,"Single detached",0,1,"Mortgage","2000-2004",950,70,"No","Gas",1500,"English","Below"
"Sub 1",123700,"Married",3,2,4,7,"Single detached",3,3,"Mortgage","Before 1939",1700,370,"No","Oil",2000,"English","Below"
"Sub 1",114000,"Married",2,1,4,3,"Single detached",1,2,"Mortgage","Before 1939",1500,260,"No","Gas",0,"Other","Below"
"Sub 1",230000,"Married",4,0,5,10,"Single attached",4,3,"Mortgage","1950-1959",1600,190,"No","Gas",1000,"English","Above"
"10+",50000,"Married",3,2,5,10,"Single detached",3,2,"Rented","Before 1939",500,150,"No","Oil",0,"English","Below"
"Sub 1",34700,"Female Head",4,0,2,9,"Single detached",1,2,"Mortgage","Before 1939",420,160,"No","Gas",710,"Spanish","Below"
"Sub 1",101000,"Married",5,2,4,10,"Single detached",3,2,"Mortgage","Before 1939",700,130,"No","Oil",800,"English","Below"
"Sub 1",120700,"Married",3,1,3,6,"Single detached",1,2,"Mortgage","1950-1959",2000,70,"No","Gas",780,"Asian Pacific","Below"
"Sub 1",517000,"Married",4,2,4,7,"Single detached",3,2,"Mortgage","2006",1500,150,"No","Oil",1000,"Other European","Above"
"1-10",46300,"Married",4,2,5,8,"Single detached",3,2,"Mortgage","2000-2004",600,150,"No","Wood",400,"English","Below"
"Sub 1",43400,"Married",1,0,2,3,"Single attached",1,1,"Mortgage","1990-1999",710,70,"No","Gas",200,"English","Below"
"Sub 1",53700,"Female Head",3,0,2,5,"Mobile home",2,2,"Mortgage","1980-1989",1100,120,"No","Oil",2400,"Other European","Below"
"1-10",64000,"Married",5,1,7,8,"Single detached",3,3,"Mortgage","1980-1989",300,240,"No","Gas",0,"English","Below"
"Sub 1",120000,"Married",4,0,2,7,"Single detached",3,2,"Mortgage","1950-1959",1000,100,"No","Gas",0,"English","Below"
"Sub 1",68700,"Male Head",3,2,6,7,"Single detached",3,2,"Mortgage","1950-1959",350,120,"No","Gas",350,"Other European","Below"
"10+",65000,"Married",2,0,2,4,"Single detached",2,2,"Mortgage","1980-1989",200,50,"No","Wood",460,"English","Below"
"10+",80000,"Married",3,1,3,5,"Single detached",3,2,"Mortgage","1990-1999",500,200,"No","Oil",500,"English","Below"
"Sub 1",53500,"Married",4,0,2,7,"Single detached",1,0,"Mortgage","1950-1959",490,160,"No","Oil",990,"English","Below"
"Sub 1",236400,"Married",3,2,5,8,"Single attached",1,2,"Mortgage","Before 1939",2500,180,"Yes","Gas",480,"Asian Pacific","Above"
"Sub 1",70500,"Married",2,0,2,5,"Single detached",1,0,"Mortgage","1950-1959",1300,270,"No","Gas",600,"English","Below"
"Sub 1",41400,"Married",4,0,2,7,"Single detached",1,0,"Mortgage","Before 1939",300,40,"No","Gas",900,"English","Below"
