Date,Trips,AvgDuration,TotalDuration
2013-07-01,16650,978.5992792792792,16293678
2013-07-02,22745,958.1295669377886,21792657
2013-07-03,21864,974.3284851811196,21302718
2013-07-04,22326,1273.1084385917763,28423419
2013-07-05,21842,1082.426609284864,23642362
2013-07-06,20467,1159.5757072360384,23733036
2013-07-07,20477,1118.2994090931288,22899417
2013-07-08,21615,1289.5298635207032,27873188
2013-07-09,26641,965.9312713486731,25733375
2013-07-10,25732,931.9172625524639,23980095
2013-07-11,24417,1009.7180652823853,24654286
2013-07-12,19006,938.1076502157214,17829674
2013-07-13,26119,1116.9396607833378,29173347
2013-07-14,29287,1161.7602690613583,34024473
2013-07-15,28069,919.0969396843493,25798132
2013-07-16,29842,907.7130554252396,27087973
2013-07-17,30550,880.1669721767594,26889101
2013-07-18,28869,862.8295403373861,24909026
2013-07-19,26591,880.2631717498401,23407078
2013-07-20,25278,1076.8692934567607,27221102
2013-07-21,30297,1122.4739413143216,34007593
2013-07-22,25979,882.0113553254552,22913773
2013-07-23,32376,944.2324870274277,30570471
2013-07-24,35271,935.5321652348955,32997155
2013-07-25,31084,896.2243919701455,27858239
2013-07-26,34534,940.0754329067006,32464565
2013-07-27,32470,1134.8639051432092,36849031
2013-07-28,23508,1052.6143865917986,24744859
2013-07-29,34915,941.4870972361449,32872022
2013-07-30,37334,949.6907912358708,35455756
2013-07-31,37261,923.5528300367677,34412502
2013-08-01,20138,802.62851325851625,16163333
2013-08-02,35792,965.4297887796156,34554663
2013-08-03,29540,1109.528808395396,32775481
2013-08-04,35253,1183.197600204238,41711265
2013-08-05,36776,967.1062105721122,35566298
2013-08-06,37702,969.552304917511,36554061
2013-08-07,34396,881.2136876380974,30310226
2013-08-08,28366,859.1932242825918,24371875
2013-08-09,29017,908.2915532274184,26355896
2013-08-10,37201,1226.5943926238542,45630538
2013-08-11,33060,1165.835420447671,38542519
2013-08-12,31457,918.3048288139365,28887115
2013-08-13,22437,938.9898382136649,21068115
2013-08-14,38150,933.3079423328965,35605698
2013-08-15,37386,917.9025036109774,34316703
2013-08-16,35991,983.3429468478231,35391496
2013-08-17,37285,1206.2547673327076,44975209
2013-08-18,27612,1016.6207808199333,28070933
2013-08-19,33127,893.5369034322456,29600197
2013-08-20,35843,898.4825488937868,32204310
2013-08-21,36315,905.6935976869063,32890263
2013-08-22,26629,864.3148071651208,23015839
2013-08-23,33503,944.636898188222,31648170
2013-08-24,32941,1084.780304180201,35733748
2013-08-25,31755,1143.7922216973705,36321122
2013-08-26,29979,928.4972480736516,27835419
