ID	Test	Gender	Age	BMI	React	Regulate
1	3.0	F	14.87	14.39	3.6100000000000003	1.9499999999999997
2	3.0	F	19.520000000000003	20.459999999999997	-0.33000000000000007	-0.009999999999999787
3	3.0	F	14.16	26.999999999999996	4.62	4.609999999999999
4	3.0	M	21.410000000000004	30.790000000000003	2.89	3.49
5	3.0	M	20.72	10.79	3.26	1.94
6	3.0	M	12.33	14.989999999999998	3.24	6.339999999999999
7	3.0	F	19.99	36.33	3.4000000000000004	1.6500000000000004
8	3.0	F	16.740000000000002	26.39	2.29	2.27
9	3.0	F	23.33	33.82	1.73	2.73
10	3.0	M	19.869999999999997	25.310000000000002	2.77	2.6300000000000003
11	3.0	M	27.08	22.020000000000003	4.869999999999999	2.7800000000000002
15	3.0	F	13.21	31.119999999999997	3.3199999999999994	4.1899999999999995
16	3.0	M	13.909999999999998	29.9	2.95	0.5900000000000007
17	3.0	F	15.260000000000002	33.26	2.7199999999999998	0.7600000000000007
18	3.0	F	16.69	28.96	4.52	0.9700000000000006
19	3.0	F	12.749999999999998	13.84	4.58	2.79
21	3.0	F	24.08	20.57	3.43	1.1
22	3.0	M	21.61	26.709999999999997	3.01	2.84
23	3.0	M	14.470000000000002	22.310000000000002	5.12	3.7800000000000002
24	3.0	F	13.549999999999999	21.519999999999996	3.46	3.8999999999999995
25	3.0	F	14.760000000000002	27.69	2.4799999999999995	3.3400000000000003
26	3.0	M	12.34	17.91	1.55	0.29000000000000004
27	3.0	F	19.31	28.599999999999998	1.1399999999999997	4.130000000000001
28	3.0	F	13.650000000000002	20.249999999999996	4.460000000000001	0.2599999999999998
29	3.0	F	13.839999999999998	19.15	2.2399999999999998	2.6
30	3.0	M	15.910000000000002	20.729999999999997	4.15	4.720000000000001
31	3.0	F	24.1	18.529999999999998	3.7200000000000006	0.52
32	3.0	F	22.24	26.27	4.619999999999999	1.71
33	3.0	F	24.05	30.179999999999996	4.470000000000001	3.2800000000000002
34	3.0	F	24.580000000000002	20.110000000000003	1.4899999999999998	1.35
35	3.0	F	23.99	22.559999999999995	3.89	0.050000000000000266
36	3.0	F	25.029999999999998	31.540000000000003	6.23	2.15
37	3.0	M	11.989999999999998	11.56	5.36	2.96
38	3.0	M	23.04	21.050000000000004	2.42	0.5299999999999998
39	3.0	M	13.11	17.490000000000002	4.4399999999999995	0.9400000000000004
40	3.0	F	9.990000000000002	14.08	4.490000000000001	4.630000000000001
41	3.0	M	13.53	28.63	0.9199999999999999	1.5
42	3.0	F	23.560000000000002	21.36	3.85	1.2
43	3.0	F	14.08	20.189999999999998	2.2800000000000002	3.0600000000000005
44	3.0	F	26.42	25.45	5.47	1.4900000000000002
45	3.0	F	16.9	21.92	3.8599999999999994	0.96
46	3.0	F	13.74	17.73	4.84	4.369999999999999
47	3.0	M	12.29	24.08	4.120000000000001	5.99
49	3.0	M	21.660000000000004	24.7	2.8000000000000003	0.3999999999999999
50	3.0	F	25.310000000000002	23.250000000000004	0.5	1.7
51	3.0	M	21.38	27.150000000000002	3.4699999999999998	5.3
52	3.0	M	12.510000000000002	15.089999999999998	3.5700000000000003	2.87
1	1.0	F	9.69	14.71	4.17	3.15
1	2.0	F	12.28	14.55	3.89	2.55
2	1.0	F	15.72	19.48	4.39	4.41
2	2.0	F	17.62	19.97	2.03	2.2
3	1.0	F	9.52	20.94	3.38	2.65
3	2.0	F	11.84	23.97	4.0	3.63
4	1.0	M	16.29	25.13	3.15	3.59
4	2.0	M	18.85	27.96	3.02	3.54
5	1.0	M	15.78	28.35	3.08	2.64
5	2.0	M	18.25	19.57	3.17	2.29
6	1.0	M	7.99	14.23	4.56	2.2
6	2.0	M	10.16	14.61	3.9	4.27
7	1.0	F	15.05	19.61	4.34	3.21
7	2.0	F	17.52	27.97	3.87	2.43
8	1.0	F	12.2	21.11	3.55	3.69
8	2.0	F	14.47	23.75	2.92	2.98
9	1.0	F	18.15	14.88	3.35	3.15
9	2.0	F	20.74	24.35	2.54	2.94
10	1.0	M	15.53	26.89	3.15	2.23
10	2.0	M	17.7	26.1	2.96	2.43
11	1.0	M	23.58	25.4	3.67	2.12
11	2.0	M	25.33	23.71	4.27	2.45
12	2.0	F	17.65	18.21	2.42	2.96
13	2.0	F	14.75	30.86	4.03	3.14
14	2.0	M	11.74	18.4	3.86	3.75
15	1.0	F	9.09	21.32	3.7	2.77
15	2.0	F	11.15	26.22	3.51	3.48
16	1.0	M	9.49	24.9	4.81	4.35
16	2.0	M	11.7	27.4	3.88	2.47
17	1.0	F	10.04	25.1	4.32	4.72
17	2.0	F	12.65	29.18	3.52	2.74
18	1.0	F	10.41	22.6	4.42	4.31
18	2.0	F	13.55	25.78	4.47	2.64
19	1.0	F	8.63	14.14	3.86	4.61
19	2.0	F	10.69	13.99	4.22	3.7
20	1.0	M	11.93	14.54	3.54	3.34
